,GF,SPF,Pval
RLTR31M,1.298447587,1.35268408,0
(ATCTG)n,0.070829172,0,0
ORR1A3,2.739886397,2.730606262,0.46736021
LTR85c,0.680982652,0.749736316,0
IAPLTR1a_Mm,2.027180634,2.092980162,0.126556038
(TCC)n,2.764055449,2.747587355,1.005172644
MER5C,1.107791225,1.191953767,0
RNLTR23,0.117271296,0,0
(TTCCG)n,0.146128036,0.037426498,0
(CCTAG)n,0.02413368,0,0
(CTTG)n,1.076536421,1.195844325,0
RLTR16,2.198998577,2.188033675,0.116142189
(CGGTG)n,0.097406066,0,0
MTEb-int,1.918606915,1.959194084,0.02679728
Charlie4,1.007320953,1.212613697,0
MER2B,1.870278465,1.927503814,0.064186001
HAL1,2.527513902,2.547882958,0.03141151
L1M3e,1.788138056,1.76024149,0.231291911
IAPLTR2_Mm,2.376905291,2.406127831,0.008731939
(TG)n,3.454267158,3.498529989,0.29535466
RLTR33,2.346202035,2.405059354,0.225078725
RLTR9D2,1.381450314,1.305695229,0
RLTR13D6,1.619421314,1.599337133,0.114526388
LTR89,1.125852894,1.119123865,0
PB1,3.144852974,3.163472667,0.100982494
MLT1G-int,0.150537155,0.234010818,0
U5,1.381372975,1.597695186,0.862457658
UCON4,1.270944887,1.26768788,0
RLTR9A3A,0.950920929,0.999913132,0
Charlie15b,1.416450298,1.435939875,0
L1M4a2,1.80827851,1.910955068,0.426820126
MER105,1.234336471,1.24703988,0
L1MB4,2.459151146,2.473545359,0.070748396
MLT2F,2.466649465,2.216081411,2.574390727
LTR75_1,0.056360281,0.031812271,0
MER94,1.198146314,1.353377595,0
(CGAGG)n,1.406442849,1.393575203,0
MLT1E3-int,0.191131504,0.104487111,0
(AGTTG)n,0.025305865,0.151063253,0
LTR41B,1.444379426,1.436893809,0
RLTR13D3A1,2.38843616,2.408562174,0.030343602
(CAACC)n,2.094541001,2.06008562,0.355845474
RLTR51B_Mm,1.490961238,1.568717876,0.105957088
HAL1M8,1.712084222,1.8152323,0.355845474
MT2B,3.139525123,3.184318288,0.26218447
Tigger5b,2.076692446,2.148417547,0.242304948
Charlie13b,0.900523181,0.953373051,0
(CAATT)n,0.097901553,0,0
Tigger9a,1.2999118,1.271888053,0
RMER13A,1.989735778,1.975523713,0.153820078
Charlie11,0.692469217,0.629817196,0
L1M8,1.238691148,1.145817714,0
HAL1b,1.554021646,1.635503853,0.126556038
MER5A1,2.243852694,2.265440495,0.021292496
MER134,0.346073416,0.311753861,0
Lx3B,3.549922754,3.50615827,1.883149256
(CTTAT)n,0.082272323,0,0
RLTR19C,1.571392685,1.585663729,0.02679728
RMER1A,2.963625274,2.985462402,0.027575905
MER5C1,0.876794976,0.925312091,0
BGLII_Mus,1.462034151,1.539828558,0.114526388
MLT2B2,1.783699446,1.828453654,0.030503065
(CACTT)n,0.110108498,0.127752516,0
MLT1C-int,1.132213933,1.211494312,0
L1M3d,0.63677437,0.821251432,0
(AATAG)n,0.429982858,0.431685345,0
